time,open,high,low,close,volume
1779365700,648.43,648.81,648,648.01,1125.603
1779366600,648.01,650.04,647.69,649.34,1464.798
1779367500,649.34,650.89,649.33,649.67,1045.912
1779368400,649.67,650.89,649.43,650.1,1092.389
1779369300,650.1,650.6,649.71,650.6,657.645
1779370200,650.6,650.6,646.36,646.51,2060.264
1779371100,646.51,649.97,646.33,649.6,1899.077
1779372000,649.61,650.59,648.97,649.46,1098.504
1779372900,649.47,649.62,647.81,649.61,1453.006
1779373800,649.61,651.3,648.94,649.18,1663.094
1779374700,649.17,649.58,648.24,648.9,1172.137
1779375600,648.9,651.3,648.75,650.74,2215.048
1779376500,650.73,653.08,650.59,652.53,1497.522
1779377400,652.53,652.76,650.75,651.51,2102.885
1779378300,651.51,652.98,651.47,652.39,1057.219
1779379200,652.39,653.33,651.45,651.98,1142.38
1779380100,651.98,652,650.92,651.49,859.526
1779381000,651.48,652.37,650.59,650.81,840.624
1779381900,650.82,651.28,650.23,651.1,688.756
1779382800,651.1,653.9,651,653.81,1368.967
1779383700,653.82,659.82,653.66,659.47,5737.017
1779384600,659.48,659.63,657.51,657.85,1634.496
1779385500,657.85,659.69,657.32,657.79,1720.591
1779386400,657.79,659.41,656.46,657.43,4108.616
1779387300,657.43,658.69,657.21,657.88,958.469
1779388200,657.88,658.27,657.11,657.79,1035.956
1779389100,657.8,657.98,654.46,655.95,2265.665
1779390000,655.94,657.39,655.82,657.39,1162.074
1779390900,657.39,657.41,656.42,656.6,835.947
1779391800,656.59,657.31,656.51,657.25,294.417
1779392700,657.24,658.53,657.16,657.87,695.735
1779393600,657.88,658.28,657.08,657.4,472.181
1779394500,657.41,657.8,657.21,657.6,351.813
1779395400,657.61,658.51,657.33,657.59,533.097
1779396300,657.6,658.47,657.05,657.36,319.85
1779397200,657.35,658.82,657.35,658.64,422.676
1779398100,658.64,659,658.37,658.73,245.686
1779399000,658.74,658.88,657.94,658.31,421.083
1779399900,658.32,658.32,657.38,657.51,225.45
1779400800,657.52,658.08,657,657.44,301.152
1779401700,657.45,657.52,656.95,657.46,255.371
1779402600,657.45,657.94,656.11,656.8,260.771
