time,open,high,low,close,volume
1779483360,1.88418,1.88439,1.88389,1.88401,176
1779656460,1.87849,1.87849,1.87849,1.87849,2
1779656520,1.87847,1.87894,1.87847,1.87862,52
1779656580,1.87853,1.87894,1.87849,1.87862,90
1779656640,1.87849,1.87894,1.87849,1.87852,98
1779656700,1.87855,1.87912,1.8785,1.87863,106
1779656760,1.8784,1.8785,1.87816,1.8782,120
1779656820,1.87823,1.87866,1.87816,1.87866,90
1779656880,1.87866,1.87868,1.87865,1.87865,36
1779656940,1.87865,1.87865,1.87814,1.87814,22
1779657000,1.87814,1.87817,1.87796,1.87809,20
1779657120,1.87822,1.87855,1.87822,1.87855,2
1779657180,1.87848,1.87863,1.87848,1.87858,9
1779657240,1.87869,1.87875,1.87843,1.87852,23
1779657300,1.87851,1.87866,1.87844,1.87864,24
1779657360,1.87848,1.87855,1.87821,1.87822,20
1779657420,1.87825,1.87866,1.87806,1.87855,37
1779657480,1.87855,1.87861,1.87843,1.87844,15
1779657540,1.87844,1.87861,1.87838,1.87844,12
1779657600,1.87857,1.87862,1.87848,1.8785,28
1779657660,1.8785,1.8785,1.87839,1.87839,6
1779657720,1.87837,1.87902,1.87832,1.87902,24
1779657840,1.87909,1.87909,1.87908,1.87908,7
1779657900,1.87897,1.87915,1.87897,1.87915,17
1779657960,1.87915,1.87915,1.87886,1.8789,40
1779658020,1.8789,1.87898,1.87882,1.87898,15
1779658080,1.87896,1.87897,1.87872,1.87897,23
1779658140,1.87898,1.87902,1.87898,1.87902,4
1779658200,1.87885,1.87925,1.87862,1.87865,44
1779658260,1.87846,1.87866,1.8783,1.87866,11
1779658320,1.87868,1.87906,1.87868,1.87892,35
1779658380,1.87894,1.87895,1.87888,1.87888,7
1779658440,1.87889,1.87889,1.87889,1.87889,2
1779658620,1.87897,1.87897,1.87897,1.87897,3
1779658680,1.87906,1.87906,1.87906,1.87906,1
1779658800,1.87909,1.87933,1.87909,1.87923,19
1779658860,1.8792,1.87923,1.87903,1.87916,27
1779658980,1.87924,1.87924,1.87924,1.87924,1
1779659040,1.87925,1.87927,1.87924,1.87924,8
1779659100,1.87944,1.87949,1.87919,1.87919,25
1779659160,1.87919,1.87931,1.87919,1.87925,11
1779659280,1.87939,1.87941,1.87934,1.87937,8
1779659340,1.87932,1.87932,1.87923,1.87923,10
1779659400,1.87929,1.87949,1.87929,1.87943,16
1779659520,1.87959,1.87968,1.87957,1.87966,10
1779659580,1.87967,1.87968,1.87967,1.87968,2
1779659640,1.87965,1.87968,1.87965,1.87967,14
1779659700,1.87957,1.87957,1.87915,1.87919,49
1779659760,1.87917,1.87922,1.87906,1.87916,54
1779659820,1.87917,1.87976,1.87917,1.87931,23
1779659880,1.87934,1.87957,1.87934,1.87947,22
1779659940,1.87945,1.8795,1.87945,1.87945,10
1779660000,1.88069,1.88141,1.88066,1.8811,215
1779660060,1.88108,1.88176,1.88097,1.88157,194
1779660120,1.88146,1.88235,1.88132,1.88221,136
1779660180,1.8822,1.88228,1.88201,1.88219,137
1779660240,1.8823,1.88248,1.88224,1.88248,102
1779660300,1.88249,1.88254,1.88218,1.8824,153
1779660360,1.88239,1.88273,1.88234,1.8826,130
1779660420,1.88263,1.88274,1.88249,1.88261,93
1779660480,1.88265,1.88286,1.88262,1.8828,86
1779660540,1.88279,1.8829,1.8826,1.88276,103
