time,open,high,low,close,volume
1779360300,0.86459,0.86464,0.86445,0.86457,536
1779360600,0.86456,0.86474,0.86455,0.86457,446
1779360900,0.86458,0.86467,0.86453,0.86463,556
1779361200,0.86464,0.86464,0.86437,0.86439,542
1779361500,0.8644,0.86441,0.86434,0.86435,365
1779361800,0.86434,0.86439,0.86428,0.86432,298
1779362100,0.86431,0.86439,0.86429,0.86436,318
1779362400,0.86435,0.86453,0.86425,0.86432,494
1779362700,0.86431,0.86435,0.86421,0.86423,373
1779363000,0.86422,0.86429,0.86405,0.86411,370
1779363300,0.86413,0.86417,0.86408,0.86415,383
1779363600,0.86416,0.86426,0.86409,0.86409,318
1779363900,0.86408,0.86422,0.86398,0.86422,276
1779364200,0.8642,0.86429,0.86414,0.86426,254
1779364500,0.86427,0.86429,0.86409,0.86419,494
1779364800,0.86418,0.86441,0.86417,0.86439,464
1779365100,0.8644,0.8645,0.86433,0.86433,381
1779365400,0.86432,0.86446,0.86429,0.86442,404
1779365700,0.86443,0.86449,0.86439,0.86444,418
1779366000,0.86443,0.86447,0.8642,0.86421,419
1779366300,0.86423,0.86439,0.86416,0.86439,340
1779366600,0.86421,0.86449,0.86416,0.86441,523
1779366900,0.8644,0.86457,0.86434,0.86449,476
1779367200,0.8645,0.86457,0.86445,0.8645,436
1779367500,0.86448,0.86451,0.8644,0.86442,421
1779367800,0.86441,0.86443,0.86434,0.86435,445
1779368100,0.86436,0.86461,0.86425,0.86457,442
1779368400,0.86455,0.86456,0.86427,0.86437,458
1779368700,0.86438,0.86472,0.86435,0.86469,490
1779369000,0.86468,0.86491,0.86468,0.86484,418
1779369300,0.86485,0.8649,0.86461,0.86462,517
1779369600,0.86461,0.86462,0.86438,0.86438,445
1779369900,0.86441,0.86447,0.86428,0.86439,467
1779370200,0.8644,0.86448,0.86435,0.86437,584
1779370500,0.86439,0.86442,0.86425,0.86432,594
1779370800,0.86433,0.86453,0.86433,0.86448,584
1779371100,0.8643,0.8647,0.8643,0.86467,478
1779371400,0.86466,0.86475,0.8645,0.8647,770
1779371700,0.86472,0.86491,0.8647,0.86488,636
1779372000,0.86486,0.86486,0.86455,0.86467,553
1779372300,0.86466,0.8651,0.86465,0.8651,580
1779372600,0.86508,0.8651,0.86489,0.86492,597
