time,open,high,low,close,volume
1736200800,0.82901,0.83055,0.82861,0.82871,73765
1736287200,0.82883,0.83519,0.82835,0.83463,86173
1736373600,0.83433,0.84065,0.83399,0.83682,75564
1736460000,0.83635,0.83934,0.83633,0.83903,81780
1736719200,0.83809,0.84242,0.83809,0.83935,91983
1736805600,0.83911,0.84506,0.83804,0.84379,89563
1736892000,0.8431,0.84625,0.8404,0.84047,80204
1736978400,0.83945,0.84379,0.83945,0.84176,84177
1737064800,0.84114,0.84534,0.84112,0.84402,80914
1737324000,0.84265,0.84735,0.84265,0.84475,86706
1737410400,0.84411,0.84623,0.84372,0.84373,97732
1737496800,0.8435,0.84637,0.84316,0.84516,77270
1737583200,0.84465,0.84576,0.84309,0.84312,77957
1737669600,0.84253,0.8462,0.84038,0.84074,78940
1737928800,0.84023,0.84208,0.83911,0.83933,85636
1738015200,0.83892,0.83969,0.83795,0.83818,78992
1738101600,0.83783,0.83875,0.83639,0.83668,82546
1738188000,0.83627,0.83902,0.83596,0.8369,82740
1738274400,0.83601,0.83743,0.83542,0.836,86004
1738533600,0.83256,0.83458,0.82917,0.83065,131772
1738620000,0.82975,0.83301,0.82968,0.8315,83219
1738706400,0.83125,0.83359,0.83042,0.83183,73643
1738792800,0.83128,0.83781,0.83128,0.83494,75070
1738879200,0.83489,0.83552,0.83188,0.83273,79147
1739138400,0.83101,0.8336,0.83067,0.83334,65760
1739224800,0.83272,0.83526,0.83227,0.83234,63319
1739311200,0.83196,0.83559,0.83196,0.83437,77200
1739397600,0.83349,0.83559,0.83135,0.83279,89086
1739484000,0.83187,0.83381,0.83157,0.83353,71455
1739743200,0.83174,0.83389,0.82971,0.83027,53761
1739829600,0.82981,0.83093,0.8281,0.82813,62681
1739916000,0.8281,0.82894,0.82646,0.82809,65713
1740002400,0.82755,0.82918,0.82698,0.82881,67456
1740088800,0.82797,0.8292,0.8265,0.82772,73828
1740348000,0.82765,0.83019,0.827,0.82895,74076
1740434400,0.82849,0.83023,0.82848,0.83007,71095
1740520800,0.82925,0.83048,0.82657,0.82703,70419
1740607200,0.82655,0.82743,0.82423,0.82512,71966
1740693600,0.82465,0.82672,0.8242,0.8248,75169
1740952800,0.82552,0.82672,0.82478,0.82573,86978
1741039200,0.82539,0.83045,0.82495,0.83038,101880
1741125600,0.82981,0.83807,0.82912,0.83657,109761
1741212000,0.83619,0.84107,0.83597,0.83712,112660
1741298400,0.83606,0.8418,0.83593,0.83822,101611
1741554000,0.83664,0.84164,0.83664,0.84131,100797
1741640400,0.84069,0.84494,0.84062,0.84314,102164
1741726800,0.84277,0.84415,0.83921,0.83972,89547
1741813200,0.83924,0.8404,0.8373,0.83775,87022
1741899600,0.83728,0.8428,0.83722,0.84076,88412
1742158800,0.8402,0.8417,0.83981,0.84069,72693
1742245200,0.84031,0.84285,0.84024,0.84174,75087
1742331600,0.8415,0.84202,0.83759,0.8384,77555
1742418000,0.83806,0.83904,0.83507,0.83697,77946
1742504400,0.83626,0.8385,0.83625,0.83735,75247
1742763600,0.83777,0.83841,0.83457,0.83569,81371
1742850000,0.83523,0.83635,0.83356,0.83356,67445
1742936400,0.83328,0.83744,0.83323,0.83427,71624
1743022800,0.83428,0.83489,0.83235,0.83405,66459
1743109200,0.83352,0.83691,0.83154,0.83667,54718
1743368400,0.83555,0.83792,0.83496,0.83717,70730
1743454800,0.83667,0.83788,0.83503,0.83514,61253
1743541200,0.83515,0.83876,0.83267,0.83463,65520
1743627600,0.83359,0.84482,0.83222,0.8435,131532
1743714000,0.8426,0.85242,0.84253,0.8499,149763
1743973200,0.84776,0.85898,0.84645,0.85701,178658
1744059600,0.85646,0.85947,0.85298,0.85831,124980
1744146000,0.8568,0.86626,0.85321,0.85358,166932
1744232400,0.85274,0.86601,0.85194,0.86345,147414
