time,open,high,low,close,volume
1779453360,1.62799,1.62812,1.62784,1.62784,134
1779453420,1.62786,1.6279,1.62777,1.62785,140
1779453480,1.62786,1.62789,1.62767,1.62785,125
1779453540,1.62786,1.62788,1.62771,1.62787,120
1779453600,1.62782,1.62794,1.62775,1.62784,148
1779453660,1.62784,1.62798,1.62777,1.6279,132
1779453720,1.62791,1.62824,1.62779,1.62824,135
1779453780,1.62824,1.62843,1.62817,1.62818,164
1779453840,1.62818,1.62822,1.62806,1.62822,118
1779453900,1.6282,1.62822,1.62784,1.62789,130
1779453960,1.62787,1.6281,1.62787,1.62804,134
1779454020,1.62804,1.62808,1.62772,1.62772,130
1779454080,1.62774,1.62795,1.62769,1.62787,118
1779454140,1.62785,1.62786,1.62768,1.62773,112
1779454200,1.62771,1.6279,1.62771,1.62781,100
1779454260,1.62782,1.62791,1.62779,1.62785,105
1779454320,1.62785,1.62785,1.62768,1.62772,105
1779454380,1.62773,1.62773,1.62743,1.62745,111
1779454440,1.62744,1.62766,1.62742,1.62757,117
1779454500,1.62766,1.62772,1.62759,1.62763,106
1779454560,1.62754,1.62763,1.62729,1.62729,124
1779454620,1.6273,1.62751,1.62725,1.6275,137
1779454680,1.62747,1.62756,1.62738,1.62741,131
1779454740,1.62743,1.62754,1.62711,1.62712,149
1779454800,1.62706,1.62735,1.62691,1.62725,195
1779454860,1.62725,1.62732,1.62716,1.62717,170
1779454920,1.6272,1.62723,1.62707,1.62722,140
1779454980,1.62718,1.62722,1.62695,1.62695,126
1779455040,1.62697,1.62706,1.6269,1.62701,157
1779455100,1.62698,1.62698,1.62673,1.62673,160
1779455160,1.62676,1.62677,1.62649,1.62674,133
1779455220,1.62673,1.62701,1.62666,1.62699,141
1779455280,1.62697,1.62706,1.6269,1.62695,146
1779455340,1.62697,1.62708,1.62664,1.62678,205
1779455400,1.62681,1.62695,1.62673,1.62687,216
1779455460,1.62683,1.62698,1.62641,1.62646,220
1779455520,1.62648,1.62704,1.62648,1.62689,211
1779455580,1.62689,1.62689,1.62644,1.62667,199
1779455640,1.6267,1.62676,1.62651,1.62656,187
1779455700,1.62658,1.6267,1.62653,1.62659,153
1779455760,1.62656,1.62692,1.62649,1.62678,170
1779455820,1.62675,1.62696,1.62674,1.62688,142
1779455880,1.62688,1.62698,1.62681,1.62694,173
1779455940,1.62693,1.62724,1.62683,1.62724,214
1779456000,1.62721,1.62741,1.6272,1.62736,178
1779456060,1.6274,1.62772,1.6274,1.62772,157
1779456120,1.62772,1.62778,1.62764,1.62769,136
1779456180,1.6277,1.6278,1.62768,1.6277,137
1779456240,1.62767,1.62774,1.62761,1.62762,142
1779456300,1.62755,1.62771,1.62755,1.62756,143
1779456360,1.62758,1.62761,1.62733,1.62733,143
1779456420,1.62736,1.62749,1.62736,1.62741,147
1779456480,1.62747,1.62751,1.62735,1.62748,120
1779456540,1.62748,1.6278,1.62748,1.62774,123
1779456600,1.62778,1.62782,1.62763,1.62765,234
1779456660,1.62757,1.62771,1.62753,1.62763,196
1779456720,1.62763,1.62771,1.6275,1.62768,172
1779456780,1.62767,1.62784,1.62758,1.62773,220
1779456840,1.62775,1.62782,1.62762,1.62768,225
1779456900,1.62766,1.62782,1.62763,1.62775,200
1779456960,1.62776,1.6278,1.62761,1.62778,174
1779457020,1.62778,1.62787,1.6277,1.62779,181
1779457080,1.62781,1.62802,1.62781,1.62796,191
1779457140,1.62794,1.62805,1.62779,1.62803,190
1779457200,1.62803,1.62803,1.62775,1.62792,194
1779457260,1.62791,1.62795,1.62772,1.6278,173
1779457320,1.62783,1.62808,1.62782,1.62794,219
1779457380,1.62791,1.62794,1.62772,1.62778,212
1779457440,1.62774,1.6279,1.62772,1.62778,166
1779457500,1.62782,1.62806,1.62771,1.628,165
1779457560,1.62797,1.62827,1.62795,1.62822,173
1779457620,1.62827,1.62832,1.62805,1.62814,164
1779457680,1.62816,1.62844,1.62811,1.62835,211
1779457740,1.62836,1.62838,1.62825,1.62829,205
1779457800,1.62831,1.62843,1.62816,1.62818,203
1779457860,1.62821,1.62827,1.62802,1.62806,209
1779457920,1.62808,1.62813,1.62795,1.62809,178
1779457980,1.6281,1.62814,1.62767,1.6277,182
1779458040,1.6277,1.62784,1.62767,1.62768,188
1779458100,1.62767,1.62768,1.62752,1.62758,166
1779458160,1.62758,1.62772,1.62757,1.62766,135
1779458220,1.62766,1.62784,1.62756,1.6277,174
1779458280,1.62768,1.6278,1.6276,1.62773,161
1779458340,1.62772,1.62776,1.62754,1.62756,137
1779458400,1.6272,1.62814,1.6271,1.62814,273
1779458460,1.62812,1.62847,1.62791,1.62847,230
1779458520,1.62844,1.62867,1.62836,1.62852,201
1779458580,1.62842,1.62844,1.62819,1.62835,245
1779458640,1.62833,1.62848,1.62818,1.62845,220
1779458700,1.62853,1.6286,1.62828,1.62839,185
1779458760,1.62841,1.62857,1.62831,1.6284,237
1779458820,1.6284,1.62848,1.62826,1.62835,207
1779458880,1.62836,1.62836,1.62795,1.62796,200
1779458940,1.62795,1.6281,1.62778,1.62787,190
1779459000,1.62791,1.62791,1.62779,1.62787,184
1779459060,1.62785,1.62804,1.62785,1.62799,168
1779459120,1.62799,1.62813,1.62788,1.62795,173
1779459180,1.62791,1.62802,1.62781,1.62786,215
1779459240,1.62786,1.62803,1.62779,1.628,201
1779459300,1.62799,1.62816,1.62794,1.62808,204
1779459360,1.62804,1.62813,1.62796,1.62808,210
1779459420,1.62808,1.62829,1.62802,1.62821,186
1779459480,1.62824,1.62827,1.62804,1.62809,193
1779459540,1.62807,1.62814,1.628,1.628,175
1779459600,1.62796,1.62804,1.62787,1.62801,184
1779459660,1.62799,1.62809,1.62796,1.62798,168
1779459720,1.62798,1.62821,1.62795,1.62818,171
1779459780,1.6282,1.62858,1.6282,1.62858,162
1779459840,1.62859,1.62873,1.62851,1.62861,184
1779459900,1.62859,1.62867,1.62852,1.62854,186
1779459960,1.62854,1.6286,1.62837,1.62852,155
1779460020,1.6285,1.62862,1.62843,1.62848,187
1779460080,1.62851,1.62851,1.62825,1.62825,185
1779460140,1.62827,1.62827,1.62813,1.62823,192
1779460200,1.6282,1.62833,1.6281,1.62815,182
1779460260,1.62814,1.62814,1.62799,1.62809,164
1779460320,1.62809,1.62818,1.62792,1.628,185
1779460380,1.62801,1.62816,1.62798,1.62812,184
1779460440,1.62812,1.62823,1.62798,1.62807,181
1779460500,1.62804,1.62807,1.62792,1.62802,187
1779460560,1.628,1.62809,1.62788,1.6279,202
1779460620,1.62792,1.62798,1.62784,1.6279,160
1779460680,1.62792,1.62825,1.62789,1.62823,177
1779460740,1.62825,1.62825,1.6281,1.62818,185
1779460800,1.6282,1.62822,1.62787,1.628,210
1779460860,1.62802,1.62811,1.62791,1.62804,175
1779460920,1.62804,1.6283,1.62803,1.62821,144
1779460980,1.62821,1.62839,1.62808,1.62835,153
1779461040,1.62838,1.62839,1.62821,1.62824,162
1779461100,1.62824,1.62826,1.62788,1.6279,182
1779461160,1.62794,1.62806,1.62793,1.62806,139
1779461220,1.62806,1.62806,1.6278,1.62785,180
1779461280,1.62785,1.62787,1.6277,1.62787,147
1779461340,1.62787,1.62821,1.6278,1.62815,162
1779461400,1.6282,1.62827,1.62798,1.62809,199
1779461460,1.62807,1.62813,1.62768,1.6277,193
1779461520,1.62767,1.62774,1.62756,1.6276,166
1779461580,1.6276,1.62763,1.62729,1.62734,173
1779461640,1.62732,1.62737,1.62722,1.62729,190
1779461700,1.62727,1.62746,1.62727,1.62734,214
1779461760,1.62737,1.62737,1.6271,1.62722,175
1779461820,1.62722,1.62729,1.62715,1.62725,200
1779461880,1.62726,1.6273,1.62706,1.62713,173
1779461940,1.62716,1.62731,1.62704,1.6273,174
1779462000,1.6273,1.62744,1.62725,1.62744,176
1779462060,1.62741,1.62754,1.62733,1.62754,186
1779462120,1.62756,1.62769,1.62745,1.62757,180
1779462180,1.62755,1.62773,1.62752,1.62765,176
1779462240,1.62768,1.62772,1.62733,1.62744,172
1779462300,1.62746,1.62753,1.62721,1.62727,194
1779462360,1.62723,1.62738,1.6271,1.62719,195
1779462420,1.62717,1.62737,1.62715,1.62734,154
1779462480,1.62734,1.62739,1.62719,1.62727,180
1779462540,1.62729,1.62732,1.62717,1.62717,152
