time,open,high,low,close,volume
1779483360,0.80819,0.80822,0.80794,0.8081,94
1779656460,0.80998,0.81,0.80967,0.81,26
1779656520,0.8099,0.81,0.80967,0.81,22
1779656580,0.80967,0.81001,0.80967,0.81001,12
1779656700,0.81001,0.81025,0.80902,0.81024,18
1779656760,0.81024,0.81024,0.81024,0.81024,3
1779656880,0.81018,0.81024,0.81018,0.81024,2
1779657000,0.80979,0.81008,0.80979,0.80984,7
1779657060,0.80991,0.80991,0.80948,0.80948,8
1779657120,0.80948,0.80948,0.80948,0.80948,3
1779657180,0.80948,0.80948,0.80948,0.80948,1
1779657240,0.80948,0.80995,0.80948,0.80995,15
1779657300,0.80986,0.80997,0.80986,0.8099,10
1779657360,0.80991,0.80991,0.80989,0.8099,5
1779657420,0.80991,0.80994,0.80991,0.80992,3
1779657480,0.8099,0.80992,0.80986,0.80992,4
1779657540,0.80992,0.80992,0.80991,0.80992,7
1779657600,0.80991,0.81039,0.80983,0.81039,10
1779657660,0.81039,0.81048,0.81039,0.81046,11
1779657720,0.81051,0.81059,0.81049,0.81058,25
1779657780,0.81054,0.81058,0.81041,0.81041,12
1779657840,0.81041,0.81051,0.81041,0.81049,8
1779657900,0.81049,0.81053,0.81046,0.81053,15
1779657960,0.81052,0.81054,0.81044,0.81054,13
1779658020,0.81052,0.81056,0.81044,0.81044,11
1779658080,0.81044,0.8105,0.81042,0.81042,10
1779658140,0.81046,0.81046,0.81039,0.81044,8
1779658200,0.81042,0.81046,0.81042,0.81044,11
1779658260,0.81021,0.81021,0.81014,0.81015,14
1779658320,0.81016,0.81019,0.81016,0.81019,3
1779658380,0.81019,0.81027,0.81019,0.81022,8
1779658440,0.81022,0.81027,0.8102,0.81027,7
1779658500,0.81027,0.81035,0.81024,0.81035,5
1779658560,0.81034,0.81036,0.81033,0.81036,9
1779658620,0.81035,0.81042,0.81035,0.81042,6
1779658680,0.81041,0.81042,0.81039,0.81042,6
1779658740,0.81041,0.81041,0.81032,0.81032,4
1779658800,0.81031,0.81031,0.81017,0.81025,14
1779658860,0.81023,0.81041,0.81023,0.81028,32
1779658920,0.81027,0.8103,0.81026,0.81026,15
1779658980,0.81026,0.81028,0.81021,0.81024,24
1779659040,0.81024,0.81026,0.81019,0.8102,34
1779659100,0.81024,0.81045,0.81015,0.81021,52
1779659160,0.81018,0.81031,0.80996,0.8103,50
1779659220,0.81036,0.81036,0.81006,0.81009,28
1779659280,0.8101,0.81014,0.81007,0.8101,19
1779659340,0.81016,0.81016,0.81014,0.81014,7
1779659400,0.81013,0.81013,0.81007,0.81011,8
1779659460,0.8101,0.81016,0.8101,0.81012,16
1779659520,0.81013,0.8102,0.80991,0.8101,47
1779659580,0.8101,0.81012,0.80987,0.80987,37
1779659640,0.80987,0.80991,0.80984,0.80986,20
1779659700,0.80987,0.80987,0.80979,0.80981,16
1779659760,0.80981,0.80982,0.80976,0.80979,16
1779659820,0.80979,0.80984,0.80979,0.80982,13
1779659880,0.80982,0.80982,0.80982,0.80982,1
1779659940,0.80982,0.80985,0.80977,0.8098,13
1779660000,0.81076,0.81102,0.81049,0.81091,108
1779660060,0.81101,0.81114,0.81095,0.81114,118
1779660120,0.81114,0.81116,0.81083,0.81097,87
1779660180,0.81094,0.81109,0.8108,0.81097,82
1779660240,0.81099,0.81102,0.81091,0.81091,41
1779660300,0.81094,0.8112,0.81086,0.81116,81
1779660360,0.81117,0.81119,0.81107,0.81108,45
1779660420,0.81112,0.81115,0.81104,0.81112,39
1779660480,0.81111,0.81113,0.811,0.81104,32
1779660540,0.81102,0.81114,0.81092,0.81112,75
1779660600,0.81111,0.81112,0.81099,0.811,84
1779660660,0.81099,0.81105,0.81085,0.81085,43
1779660720,0.81081,0.81091,0.81081,0.81085,69
1779660780,0.81086,0.81093,0.81081,0.81091,83
1779660840,0.81091,0.81091,0.81084,0.81086,50
1779660900,0.81084,0.81095,0.81082,0.81088,79
1779660960,0.81085,0.81091,0.81074,0.81088,92
1779661020,0.8109,0.81094,0.81084,0.81087,74
1779661080,0.81086,0.8109,0.81078,0.81078,52
1779661140,0.81079,0.81084,0.81076,0.81083,43
1779661200,0.81085,0.81086,0.81071,0.81076,69
1779661260,0.81075,0.81075,0.81063,0.81064,73
1779661320,0.81066,0.81072,0.81061,0.81068,63
1779661380,0.81067,0.81079,0.81067,0.8107,61
1779661440,0.8107,0.81075,0.81054,0.81057,48
1779661500,0.81057,0.81073,0.81055,0.8107,44
1779661560,0.81071,0.81075,0.81056,0.81057,38
1779661620,0.81058,0.8108,0.81058,0.8108,61
1779661680,0.81077,0.81079,0.8107,0.8107,71
1779661740,0.81069,0.81072,0.81048,0.81057,68
1779661800,0.81059,0.81075,0.81059,0.81068,90
1779661860,0.81067,0.81078,0.81061,0.81071,115
1779661920,0.81072,0.81078,0.81062,0.81076,62
1779661980,0.81076,0.81082,0.8107,0.81071,56
1779662040,0.81073,0.81073,0.8106,0.81066,31
1779662100,0.81069,0.81069,0.81058,0.8106,83
1779662160,0.81058,0.81062,0.81052,0.8106,99
1779662220,0.8106,0.81062,0.81052,0.81054,52
1779662280,0.81054,0.81056,0.81049,0.81052,63
1779662340,0.81052,0.81058,0.81052,0.81057,22
1779662400,0.81058,0.81062,0.81052,0.81058,54
1779662460,0.81057,0.81063,0.81037,0.81061,76
1779662520,0.81061,0.81076,0.81061,0.81073,50
1779662580,0.81071,0.81075,0.81061,0.81073,63
