time,open,high,low,close,volume
1779483300,717315,717603,717280,717530,345
1779660000,722716,723307,722138,723121,898
1779660300,722984,723887,722752,723333,1424
1779660600,723438,724007,723153,723645,1297
1779660900,723706,723838,722707,723374,1321
1779661200,723373,723814,723280,723677,1088
1779661500,723645,723755,722949,723194,1029
1779661800,723126,724516,723126,724212,1137
1779662100,724212,724257,723900,723999,983
1779662400,723999,724153,723819,724091,1031
1779662700,724090,725296,724048,725211,1119
1779663000,725242,725242,724724,724788,961
1779663300,724785,725369,724722,725298,749
1779663600,725304,725766,725304,725706,1032
1779663900,725663,726614,725625,726413,991
1779664200,726420,727033,726420,726757,957
1779664500,726775,727231,726652,726746,824
1779664800,726745,727295,726702,727123,751
1779665100,727136,727304,726632,726877,880
1779665400,726886,727487,726880,727405,901
1779665700,727408,727582,727364,727480,909
1779666000,727471,727783,727299,727379,933
1779666300,727376,727583,727126,727385,976
1779666600,727380,727405,726980,727174,868
1779666900,727128,727172,725766,725970,1061
1779667200,725966,726540,725692,726236,1270
1779667500,726221,727033,726154,726758,1124
1779667800,726823,727144,726322,726659,1151
1779668100,726708,726726,726159,726362,1141
1779668400,726361,726879,726149,726872,1042
1779668700,726873,727003,726236,726534,1006
1779669000,726641,726954,726487,726801,989
1779669300,726797,727135,726596,727036,918
1779669600,727021,727023,726348,726457,981
1779669900,726476,727432,726228,727040,1050
1779670200,727077,727174,726207,726591,1244
1779670500,726569,726639,725633,726092,1384
1779670800,726029,727044,725607,725821,1577
1779671100,725830,726045,724586,724817,1542
1779671400,724835,725353,724795,725110,1447
1779671700,725095,725225,724630,725133,1409
1779672000,725149,726219,725050,725972,1355
1779672300,725991,726401,725496,726185,1335
1779672600,726106,726304,725478,725588,1367
1779672900,725591,726064,725591,725814,1271
1779673200,725806,725856,724788,724820,1268
1779673500,724823,725095,724350,724963,1311
1779673800,724953,725573,724578,725451,1195
1779674100,725453,725521,724628,724946,1173
1779674400,724944,725318,724696,724887,1138
1779674700,724905,725611,724808,725518,1288
1779675000,725517,725561,724591,724685,1183
1779675300,724716,724786,724278,724672,1118
1779675600,724675,724895,724370,724794,909
1779675900,724799,724883,724405,724818,939
1779676200,724874,725235,724631,724996,1173
1779676500,724979,725239,724672,725221,1171
1779676800,725225,725865,725105,725858,1144
1779677100,725881,725968,724722,724867,1207
1779677400,724865,725130,724676,724678,948
1779677700,724677,724841,724330,724564,1184
1779678000,724567,724988,724567,724921,1180
1779678300,724922,724965,724429,724936,1119
1779678600,724944,725040,724698,724954,1003
1779678900,724950,724989,724734,724816,1039
1779679200,724825,725140,724700,724700,1102
1779679500,724701,724795,724494,724564,1009
1779679800,724597,724838,724383,724688,919
1779680100,724687,725046,724683,724895,1010
1779680400,724894,724894,724190,724223,902
1779680700,724223,724377,724059,724302,943
1779681000,724294,724539,724026,724507,902
1779681300,724512,724727,724440,724502,959
1779681600,724499,724842,724439,724667,876
1779681900,724659,724910,724631,724851,779
1779682200,724845,724968,724597,724728,812
1779682500,724712,724941,724581,724824,783
1779682800,724827,725366,724827,725292,814
1779683100,725289,725567,725287,725475,678
1779683400,725483,725509,724625,724701,995
1779683700,724701,724917,724454,724833,782
1779684000,724832,724996,724661,724912,660
1779684300,724917,725130,724848,725052,549
1779684600,725042,725244,724942,725096,702
1779684900,725098,725258,725071,725182,845
1779685200,725187,725336,724910,725310,805
1779685500,725302,725303,725058,725072,698
1779685800,725077,725153,724808,724945,805
1779686100,724942,725008,724735,724864,676
1779686400,724865,724883,723835,723895,971
1779686700,723891,723985,723518,723524,926
1779687000,723563,724368,723263,724064,1271
1779687300,724115,724532,724043,724406,1085
1779687600,724417,724571,723732,724003,1106
1779687900,724002,724147,723642,723680,1041
1779688200,723694,723742,723171,723580,1165
1779688500,723579,724036,723471,723645,1102
1779688800,723646,724059,723548,723582,1301
1779689100,723577,723636,723037,723410,1178
1779689400,723405,723718,723273,723675,1054
1779689700,723661,723857,723453,723730,1117
1779690000,723743,724125,723436,724084,1138
1779690300,724079,724193,723708,723745,1077
1779690600,723775,723990,723650,723815,1084
1779690900,723815,724179,723756,723952,1071
1779691200,723948,724270,723924,724146,1023
1779691500,724131,724485,724103,724289,1047
1779691800,724313,724551,724095,724443,1121
1779692100,724421,725117,724417,725010,1179
1779692400,725009,725416,724869,725364,1157
1779692700,725360,725479,725050,725204,1130
1779693000,725173,725589,725095,725118,1074
1779693300,725122,725129,724112,724403,1290
1779693600,724405,724519,724018,724478,1331
1779693900,724472,724683,724214,724264,1100
1779694200,724272,725199,724228,724917,1200
1779694500,724906,725020,724638,724833,1034
1779694800,724844,725063,724804,724909,931
1779695100,724907,725303,724776,725298,899
1779695400,725305,725741,725231,725560,949
1779695700,725555,725751,725463,725696,924
1779696000,725681,725756,725385,725394,1078
1779696300,725391,725454,724951,725056,942
1779696600,725061,725071,724674,724937,892
1779696900,724937,725012,724758,724965,819
1779697200,725000,725000,724039,724043,1004
1779697500,724055,724130,723780,723983,1213
1779697800,723979,724409,723894,724224,896
1779698100,724245,724351,723892,724163,953
1779698400,724162,724208,723750,723927,866
1779698700,723925,723975,723709,723807,962
1779699000,723809,724195,723772,724131,934
1779699300,724130,724225,723961,724058,761
1779699600,724047,724458,723965,724172,838
1779699900,724199,724205,723857,723862,756
1779700200,723866,724233,723851,724059,766
1779700500,724066,724328,724054,724176,709
1779700800,724157,724251,724029,724240,731
1779701100,724238,724599,724213,724561,724
1779701400,724569,725474,724490,725474,1031
1779701700,725470,725614,725127,725459,1146
1779702000,725462,725658,725299,725619,796
1779702300,725621,725803,725460,725772,835
1779702600,725770,726067,725709,725870,830
1779702900,725854,726195,725789,725920,893
1779703200,725934,726242,725898,726135,755
1779703500,726136,726451,726117,726440,841
1779703800,726453,726740,726308,726632,1031
1779704100,726640,726905,726519,726766,856
1779704400,726773,726774,726493,726702,813
1779704700,726682,726723,726298,726478,862
1779705000,726483,726853,726352,726814,806
1779705300,726814,726826,726487,726508,834
1779705600,726507,726514,726095,726363,1033
1779705900,726362,726730,726362,726428,677
1779706200,726428,726448,726235,726353,733
1779706500,726356,726422,726169,726175,671
1779706800,726171,726201,726058,726183,660
1779707100,726188,726226,726026,726133,708
1779707400,726139,726752,726112,726707,713
1779707700,726705,727159,726168,726592,1013
1779708000,726584,727078,726503,726640,841
1779708300,726644,726644,726307,726615,751
1779708600,726606,726940,726603,726810,907
1779708900,726806,727231,726765,727144,851
1779709200,727140,727172,726815,726903,915
1779709500,726908,727256,726419,726424,1028
1779709800,726415,726551,726301,726323,813
1779710100,726337,726523,726220,726252,904
1779710400,726254,726266,725310,725393,1253
1779710700,725388,725423,724249,724730,1243
1779711000,724728,724873,723969,724009,1205
1779711300,724004,724102,723651,723716,1133
1779711600,723717,724098,723536,724015,1155
1779711900,724003,724777,723992,724746,996
1779712200,724744,725257,724665,725257,1021
1779712500,725253,726213,725127,725998,1193
1779712800,726000,726035,725569,725595,1092
1779713100,725594,725779,725297,725529,991
1779713400,725526,725734,725482,725654,901
1779713700,725667,725986,725653,725828,997
1779714000,725809,725838,724881,725317,1421
1779714300,725319,726369,725308,725909,1260
1779714600,725916,725916,724991,725251,1170
1779714900,725265,725265,724653,724944,1154
1779715200,724942,725332,724902,725195,1106
1779715500,725200,725257,724807,724930,1101
1779715800,724936,725337,724907,725293,1191
1779716100,725298,725521,725133,725323,1114
1779716400,725330,725514,725234,725435,1091
1779716700,725430,725489,724701,724930,1065
1779717000,724932,725216,724795,725202,1020
1779717300,725205,725436,725153,725168,1063
1779717600,725164,725805,725052,725763,1092
1779717900,725776,726229,725775,726180,1169
1779718200,726174,726243,725788,725888,1061
1779718500,725890,726081,725833,725994,913
1779718800,726002,726223,725864,726215,953
1779719100,726220,726286,725808,725904,952
1779719400,725903,725967,725463,725889,990
1779719700,725896,725996,725660,725865,783
1779720000,725867,725976,725646,725700,757
1779720300,725704,725933,725611,725917,922
1779720600,725926,726031,725588,725597,841
1779720900,725597,725784,725541,725753,1050
1779721200,725742,726166,725740,726009,1019
1779721500,726006,726015,725670,725882,914
1779721800,725877,726799,725780,726316,1354
1779733200,725929,726230,725915,726230,154
1779733500,725809,726153,725758,726136,280
1779746400,726611,726952,726384,726649,457
1779746700,726674,726773,726521,726702,626
1779747000,726723,726841,726607,726822,638
1779747300,726820,727069,726794,726856,600
1779747600,726851,727058,726712,727058,528
1779747900,727049,727111,726705,726796,581
1779748200,726805,726805,726486,726529,755
1779748500,726527,726837,726298,726741,745
1779748800,726742,727120,726583,726945,708
1779749100,726935,727134,726871,726927,644
1779749400,726927,727300,726923,727286,459
1779749700,727290,727340,726919,727093,780
1779750000,727047,727358,726862,726961,731
1779750300,726961,727371,726886,727304,621
1779750600,727303,727750,727182,727730,837
1779750900,727726,727852,727415,727456,824
1779751200,727457,727552,726821,727004,841
1779751500,726983,727027,725938,726109,986
1779751800,726108,726191,724888,724970,1141
1779752100,724946,725247,724100,725157,1326
1779752400,725155,725253,724107,724315,1085
1779752700,724321,724948,724313,724681,1032
1779753000,724679,725235,724577,725201,927
1779753300,725145,725203,724722,724814,964
1779753600,724815,724815,723108,723315,1478
1779753900,723312,723602,723050,723174,1399
1779754200,723181,723810,723084,723669,1264
1779754500,723672,723787,721823,722724,1303
1779754800,722734,722879,721990,722559,1296
1779755100,722563,723421,722470,723258,1130
1779755400,723203,723717,723201,723570,1140
1779755700,723567,723644,722655,722796,1109
1779756000,722810,723189,722202,722961,1170
1779756300,722932,723489,722447,722447,1178
